aid,sid
1347351,376241568
1347351,376241577
1347351,376241593
1347351,376241595
1347351,376241659
1347351,376241670
1347351,376241679
1347351,376241686
1347351,376241729
1347351,376241738
1347351,376241743
1347351,376241779
1347351,376241788
1347351,376241813
1347351,376241820
1347351,376241829
1347351,376241845
1347351,376241854
1347351,376241863
1347351,376241552
1347351,376241554
1347351,376241559
1347351,376241584
1347351,376241611
1347351,376241629
1347351,376241634
1347351,376241652
1347351,376241668
1347351,376241704
1347351,376241727
1347346,376241544
1347346,376241560
1347346,376241567
1347346,376241569
1347346,376241603
1347346,376241619
1347346,376241653
1347346,376241660
1347346,376241662
1347346,376241678
1347346,376241703
1347346,376241710
1347346,376241726
1347346,376241744
1347346,376241753
1347346,376241787
1347346,376241796
1347346,376241801
1347346,376241810
1347346,376241826
1347346,376241830
1347346,376241835
1347346,376241837
1347346,376241860
1347346,376241862
1347346,376241869
1347346,376241558
1347346,376241573
1347346,376241575
1347346,376241588
1347352,376241587
1347352,376241592
1347352,376241621
1347352,376241644
1347352,376241696
1347352,376241701
1347352,376241719
1347352,376241746
1347352,376241760
1347352,376241771
1347352,376241776
1347352,376241803
1347352,376241846
1347352,376241855
1347352,376241880
1347352,376241613
1347352,376241614
1347352,376241615
1347352,376241616
1347352,376241647
1347352,376241649
1347352,376241650
1347352,376241665
1347352,376241683
1347352,376241765
1347352,376241783
1347352,376241784
1347352,376241798
1347352,376241832
1347352,376241834
1347349,376241540
1347349,376241555
1347349,376241572
1347349,376241589
1347349,376241590
1347349,376241638
1347349,376241642
1347349,376241657
1347349,376241690
1347349,376241705
1347349,376241723
1347349,376241740
1347349,376241741
1347349,376241758
1347349,376241789
1347349,376241808
1347349,376241822
1347349,376241856
1347349,376241858
1347349,376241859
1347349,376241558
1347349,376241573
1347349,376241575
1347349,376241588
1347349,376241591
1347349,376241623
1347349,376241625
1347349,376241639
1347349,376241640
1347348,376241613
1347348,376241614
1347348,376241615
1347348,144206445
1347348,363679772
1347348,376241546
1347348,376241549
1347348,376241564
1347348,376241543
1347348,376241545
1347348,376241570
1347348,376241579
1347348,376241586
1347348,376241645
1347348,376241654
1347348,376241684
1347348,376241693
1347348,376241711
1347348,376241734
1347348,376241768
1347348,376241811
1347348,376241827
1347348,376241836
1347348,376241852
1347348,376241861
1347348,376241870
1347348,376241587
1347348,376241592
1347348,376241621
1347348,376241644
1347360,376241587
1347360,376241592
1347360,376241621
1347360,376241644
1347360,376241696
1347360,376241701
1347360,376241719
1347360,376241746
1347360,376241760
1347360,376241771
1347360,376241776
1347360,376241803
1347360,376241846
1347360,376241855
1347360,376241880
1347360,144206445
1347360,363679772
1347360,376241546
1347360,376241549
1347360,376241564
1347360,376241580
1347360,376241582
1347360,376241630
1347360,376241632
1347360,376241633
1347360,376241666
1347360,376241667
1347360,376241680
1347360,376241681
1347364,376241544
1347364,376241560
1347364,376241567
1347364,376241569
1347364,376241603
1347364,376241619
1347364,376241653
1347364,376241660
1347364,376241662
1347364,376241678
1347364,376241703
1347364,376241710
1347364,376241726
1347364,376241744
1347364,376241753
1347364,376241787
1347364,376241796
1347364,376241801
1347364,376241810
1347364,376241826
1347364,376241830
1347364,376241835
1347364,376241837
1347364,376241860
1347364,376241862
1347364,376241869
1347364,376241558
1347364,376241573
1347364,376241575
1347401,144206445
1347401,363679772
1347401,376241546
1347401,376241549
1347401,376241564
1347401,376241580
1347401,376241582
1347401,376241630
1347401,376241632
1347401,376241633
1347401,376241666
1347401,376241667
1347401,376241680
1347401,376241681
1347401,376241716
1347401,376241731
1347401,376241764
1347401,376241780
1347401,376241782
1347401,376241800
1347401,376241814
1347401,376241831
1347401,376241833
1347401,376241561
1347401,376241602
1347401,376241604
1347351,376241736
1347351,376241754
1347351,376241770
1347351,376241843
1347351,376241868
1347351,376241879
1347351,376241561
1347351,376241602
1347351,376241604
1347351,376241627
1347351,376241661
1347351,376241695
1347351,376241702
1347351,376241709
1347351,376241713
1347351,376241718
1347351,376241752
1347351,376241761
1347351,376241786
1347351,376241795
1347351,376241804
1347351,376241838
1347351,376241587
1347351,376241592
1347351,376241621
1347351,376241644
1347351,376241696
1347351,376241701
1347351,376241719
1347351,376241746
1347346,376241591
1347346,376241623
1347346,376241625
1347346,376241639
1347346,376241640
1347346,376241641
1347346,376241655
1347346,376241658
1347346,376241672
1347346,376241692
1347346,376241706
1347346,376241707
1347346,376241725
1347346,376241755
1347346,376241757
1347346,376241759
1347346,376241773
1347346,376241774
1347346,376241790
1347346,376241805
1347346,376241806
1347346,376241807
1347346,376241841
1347346,376241548
1347346,376241550
1347346,376241563
1347346,376241566
1347346,376241581
1347346,376241597
1347346,376241648
1347366,376241547
1347366,376241599
1347366,376241600
1347366,376241631
1347366,376241682
1347366,376241698
1347366,376241699
1347366,376241700
1347366,376241715
1347366,376241749
1347366,376241847
1347366,376241864
1347366,376241558
1347366,376241573
1347366,376241575
1347366,376241588
1347366,376241591
1347366,376241623
1347366,376241625
1347366,376241639
1347366,376241640
1347366,376241641
1347366,376241655
1347366,376241658
1347366,376241672
1347366,376241692
1347366,376241706
1347366,376241707
1347366,376241725
1347366,376241755
1347358,376241540
1347358,376241555
1347358,376241572
1347358,376241589
1347358,376241590
1347358,376241638
1347358,376241642
1347358,376241657
1347358,376241690
1347358,376241705
1347358,376241723
1347358,376241740
1347358,376241741
1347358,376241758
1347358,376241789
1347358,376241808
1347358,376241822
1347358,376241856
1347358,376241858
1347358,376241859
1347358,376241539
1347358,376241605
1347358,376241622
1347352,376241848
1347352,376241850
1347352,376241865
1347352,376241867
1347352,376241609
1347352,376241618
1347352,376241620
1347352,376241636
1347352,376241643
1347352,376241677
1347352,376241720
1347352,376241745
1347352,376241763
1347352,376241777
1347352,376241793
1347352,376241802
1347352,376241818
1347352,376241877
1347352,376241565
1347352,376241583
1347352,376241598
1347352,376241663
1347352,376241664
1347352,376241730
1347352,376241733
1347352,376241766
1347352,376241767
1347352,376241815
1347352,376241816
1347352,376241817
1347349,376241641
1347349,376241655
1347349,376241658
1347349,376241672
1347349,376241692
1347349,376241706
1347349,376241707
1347349,376241725
1347349,376241755
1347349,376241757
1347349,376241759
1347349,376241773
1347349,376241774
1347349,376241790
1347349,376241805
1347349,376241806
1347349,376241807
1347349,376241841
1347349,376241544
1347349,376241560
1347349,376241567
1347349,376241569
1347349,376241603
1347349,376241619
1347349,376241653
1347349,376241660
1347349,376241662
1347349,376241678
1347349,376241703
1347401,376241627
1347401,376241661
1347401,376241695
1347401,376241702
1347401,376241709
1347401,376241713
1347401,376241718
1347401,376241752
1347401,376241761
1347401,376241786
1347401,376241795
1347401,376241804
1347401,376241838
1347401,376241565
1347401,376241583
1347401,376241598
1347401,376241663
1347401,376241664
1347401,376241730
1347401,376241733
1347401,376241766
1347401,376241767
1347401,376241815
1347401,376241816
1347401,376241817
1347401,376241882
1347360,376241716
1347360,376241731
1347360,376241764
1347360,376241780
1347360,376241782
1347360,376241800
1347360,376241814
1347360,376241831
1347360,376241833
1347360,376241540
1347360,376241555
1347360,376241572
1347360,376241589
1347360,376241590
1347360,376241638
1347360,376241642
1347360,376241657
1347360,376241690
1347360,376241705
1347360,376241723
1347360,376241740
1347360,376241741
1347360,376241758
1347360,376241789
1347360,376241808
1347360,376241822
1347360,376241856
1347360,376241858
1347360,376241859
1347348,376241696
1347348,376241701
1347348,376241719
1347348,376241746
1347348,376241760
1347348,376241771
1347348,376241776
1347348,376241803
1347348,376241846
1347348,376241855
1347348,376241880
1347348,376241609
1347348,376241618
1347348,376241620
1347348,376241636
1347348,376241643
1347348,376241677
1347348,376241720
1347348,376241745
1347348,376241763
1347348,376241777
1347348,376241793
1347348,376241802
1347348,376241818
1347348,376241877
1347348,376241562
1347348,376241594
1347348,376241596
1347348,376241601
1347348,376241626
1347364,376241588
1347364,376241591
1347364,376241623
1347364,376241625
1347364,376241639
1347364,376241640
1347364,376241641
1347364,376241655
1347364,376241658
1347364,376241672
1347364,376241692
1347364,376241706
1347364,376241707
1347364,376241725
1347364,376241755
1347364,376241757
1347364,376241759
1347364,376241773
1347364,376241774
1347364,376241790
1347364,376241805
1347364,376241806
1347364,376241807
1347364,376241841
1347364,376241548
1347364,376241550
1347364,376241563
1347364,376241566
1347364,376241581
1347351,376241760
1347351,376241771
1347351,376241776
1347351,376241803
1347351,376241846
1347351,376241855
1347351,376241880
1347351,376241540
1347351,376241555
1347351,376241572
1347351,376241589
1347351,376241590
1347351,376241638
1347351,376241642
1347351,376241657
1347351,376241690
1347351,376241705
1347351,376241723
1347351,376241740
1347351,376241741
1347351,376241758
1347351,376241789
1347351,376241808
1347351,376241822
1347351,376241856
1347351,376241858
1347351,376241859
1347351,376241565
1347351,376241583
1347351,376241598
1347346,376241697
1347346,376241714
1347346,376241717
1347346,376241732
1347346,376241747
1347346,376241748
1347346,376241750
1347346,376241781
1347346,376241797
1347346,376241799
1347346,376241849
1347346,376241866
1347346,376241881
1347346,376242718
1347346,144206445
1347346,363679772
1347346,376241546
1347346,376241549
1347346,376241564
1347346,376241580
1347346,376241582
1347346,376241630
1347346,376241632
1347346,376241633
1347346,376241666
1347346,376241667
1347346,376241680
1347346,376241681
1347346,376241716
1347346,376241731
1347352,376241882
1347352,376241542
1347352,376241553
1347352,376241571
1347352,376241585
1347352,376241610
1347352,376241617
1347352,376241637
1347352,376241676
1347352,376241685
1347352,376241762
1347352,376241778
1347352,376241878
1347352,376241561
1347352,376241602
1347352,376241604
1347352,376241627
1347352,376241661
1347352,376241695
1347352,376241702
1347352,376241709
1347352,376241713
1347352,376241718
1347352,376241752
1347352,376241761
1347352,376241786
1347352,376241795
1347352,376241804
1347352,376241838
1347352,376241539
1347349,376241710
1347349,376241726
1347349,376241744
1347349,376241753
1347349,376241787
1347349,376241796
1347349,376241801
1347349,376241810
1347349,376241826
1347349,376241830
1347349,376241835
1347349,376241837
1347349,376241860
1347349,376241862
1347349,376241869
1347349,144206445
1347349,363679772
1347349,376241546
1347349,376241549
1347349,376241564
1347349,376241580
1347349,376241582
1347349,376241630
1347349,376241632
1347349,376241633
1347349,376241666
1347349,376241667
1347349,376241680
1347349,376241681
1347401,376241542
1347401,376241553
1347401,376241571
1347401,376241585
1347401,376241610
1347401,376241617
1347401,376241637
1347401,376241676
1347401,376241685
1347401,376241762
1347401,376241778
1347401,376241878
1347401,376241539
1347401,376241605
1347401,376241622
1347401,376241624
1347401,376241675
1347401,376241722
1347401,376241756
1347401,376241791
1347401,376241823
1347401,376241875
1347401,376241547
1347401,376241599
1347401,376241600
1347401,376241631
1347360,376241609
1347360,376241618
1347360,376241620
1347360,376241636
1347360,376241643
1347360,376241677
1347360,376241720
1347360,376241745
1347360,376241763
1347360,376241777
1347360,376241793
1347360,376241802
1347360,376241818
1347360,376241877
1347360,376241542
1347360,376241553
1347360,376241571
1347360,376241585
1347360,376241610
1347360,376241617
1347360,376241637
1347360,376241676
1347360,376241685
1347360,376241762
1347360,376241778
1347360,376241878
1347360,376241551
1347360,376241576
1347360,376241578
1347354,376241548
1347354,376241550
1347354,376241563
1347354,376241566
1347354,376241581
1347354,376241597
1347354,376241558
1347354,376241573
1347354,376241575
1347354,376241588
1347354,376241591
1347354,376241543
1347354,376241545
1347358,376241624
1347358,376241675
1347358,376241722
1347358,376241756
1347358,376241791
1347358,376241823
1347358,376241875
1347358,376241592
1347358,376241621
1347358,376241644
1347358,376241696
1347358,376241701
1347358,376241719
1347358,376241746
1347358,376241760
1347358,376241771
1347358,376241776
1347358,376241803
1347358,376241846
1347358,376241855
1347358,376241880
1347358,376241616
1347358,376241647
1347358,376241649
1347358,376241650
1347358,376241665
1347358,376241683
1347358,376241765
1347358,376241783
1347348,376241635
1347348,376241712
1347348,376241728
1347348,376241735
1347348,376241751
1347348,376241785
1347348,376241794
1347348,376241819
1347348,376241828
1347348,376241844
1347348,376241851
1347348,376241871
1347348,376241540
1347348,376241555
1347348,376241572
1347348,376241589
1347348,376241590
1347348,376241638
1347348,376241642
1347348,376241657
1347348,376241690
1347348,376241705
1347348,376241723
1347348,376241740
1347348,376241741
1347348,376241758
1347348,376241789
1347348,376241808
1347348,376241822
1347348,376241856
1347364,376241597
1347364,376241648
1347364,376241697
1347364,376241714
1347364,376241717
1347364,376241732
1347364,376241747
1347364,376241748
1347364,376241750
1347364,376241781
1347364,376241797
1347364,376241799
1347364,376241849
1347364,376241866
1347364,376241881
1347364,376242718
1347364,376241562
1347364,376241594
1347364,376241596
1347364,376241601
1347364,376241626
1347364,376241635
1347364,376241712
1347364,376241728
1347364,376241735
1347364,376241751
1347364,376241785
1347364,376241794
1347364,376241819
1347365,376241558
1347365,376241573
1347365,376241575
1347365,376241588
1347365,376241591
1347365,376241623
1347365,376241625
1347365,376241639
1347365,376241640
1347365,376241641
1347365,376241655
1347365,376241658
1347365,376241672
1347365,376241692
1347365,376241706
1347365,376241707
1347365,376241725
1347365,376241548
1347351,376241663
1347351,376241664
1347351,376241730
1347351,376241733
1347351,376241766
1347351,376241767
1347351,376241815
1347351,376241816
1347351,376241817
1347351,376241882
1347351,144206445
1347351,363679772
1347351,376241546
1347351,376241549
1347351,376241564
1347351,376241580
1347351,376241582
1347351,376241630
1347351,376241632
1347351,376241633
1347351,376241666
1347351,376241667
1347351,376241680
1347351,376241681
1347351,376241716
1347351,376241731
1347351,376241764
1347351,376241780
1347351,376241782
1347351,376241800
1347346,376241764
1347346,376241780
1347346,376241782
1347346,376241800
1347346,376241814
1347346,376241831
1347346,376241833
1347346,376241587
1347346,376241592
1347346,376241621
1347346,376241644
1347346,376241696
1347346,376241701
1347346,376241719
1347346,376241746
1347346,376241760
1347346,376241771
1347346,376241776
1347346,376241803
1347346,376241846
1347346,376241855
1347346,376241880
1347346,376241609
1347346,376241618
1347346,376241620
1347346,376241636
1347346,376241643
1347346,376241677
1347346,376241720
1347346,376241745
1347366,376241757
1347366,376241759
1347366,376241773
1347366,376241774
1347366,376241790
1347366,376241805
1347366,376241806
1347366,376241807
1347366,376241841
1347366,376241542
1347366,376241553
1347366,376241571
1347366,376241585
1347366,376241610
1347366,376241617
1347366,376241637
1347366,376241676
1347366,376241685
1347366,376241762
1347366,376241778
1347366,376241878
1347366,144206445
1347366,363679772
1347366,376241546
1347366,376241549
1347366,376241564
1347366,376241580
1347366,376241582
1347366,376241630
1347366,376241632
1347349,376241716
1347349,376241731
1347349,376241764
1347349,376241780
1347349,376241782
1347349,376241800
1347349,376241814
1347349,376241831
1347349,376241833
1347349,376241562
1347349,376241594
1347349,376241596
1347349,376241601
1347349,376241626
1347349,376241635
1347349,376241712
1347349,376241728
1347349,376241735
1347349,376241751
1347349,376241785
1347349,376241794
1347349,376241819
1347349,376241828
1347349,376241844
1347349,376241851
1347349,376241871
1347349,376241548
1347349,376241550
1347349,376241563
1347352,376241605
1347352,376241622
1347352,376241624
1347352,376241675
1347352,376241722
1347352,376241756
1347352,376241791
1347352,376241823
1347352,376241875
1347352,376241540
1347352,376241555
1347352,376241572
1347352,376241589
1347352,376241590
1347352,376241638
1347352,376241642
1347352,376241657
1347352,376241690
1347352,376241705
1347352,376241723
1347352,376241740
1347352,376241741
1347352,376241758
1347352,376241789
1347352,376241808
1347352,376241822
1347352,376241856
1347352,376241858
1347352,376241859
1347352,376241562
1347401,376241682
1347401,376241698
1347401,376241699
1347401,376241700
1347401,376241715
1347401,376241749
1347401,376241847
1347401,376241864
1347401,376241543
1347401,376241545
1347401,376241570
1347401,376241579
1347401,376241586
1347401,376241645
1347401,376241654
1347401,376241684
1347401,376241693
1347401,376241711
1347401,376241734
1347401,376241768
1347401,376241811
1347401,376241827
1347401,376241836
1347401,376241852
1347401,376241861
1347401,376241870
1347360,376241612
1347360,376241628
1347360,376241646
1347360,376241651
1347360,376241669
1347360,376241671
1347360,376241687
1347360,376241694
1347360,376241721
1347360,376241737
1347360,376241769
1347360,376241812
1347360,376241821
1347360,376241853
1347360,376241543
1347360,376241545
1347360,376241570
1347360,376241579
1347360,376241586
1347360,376241645
1347360,376241654
1347360,376241684
1347360,376241693
1347360,376241711
1347360,376241734
1347360,376241768
1347360,376241811
1347360,376241827
1347360,376241836
1347354,376241570
1347354,376241579
1347354,376241586
1347354,376241645
1347354,376241654
1347354,376241684
1347354,376241693
1347354,376241711
1347354,376241734
1347354,376241768
1347354,376241811
1347354,376241562
1347354,376241594
1347354,376241596
1347354,376241601
1347354,376241626
1347354,376241635
1347354,144206445
1347354,363679772
1347354,376241546
1347354,376241549
1347354,376241564
1347354,376241580
1347354,376241582
1347354,376241630
1347354,376241632
1347354,376241633
1347354,376241565
1347364,376241828
1347364,376241844
1347364,376241851
1347364,376241871
1347364,376241551
1347364,376241576
1347364,376241578
1347364,376241612
1347364,376241628
1347364,376241646
1347364,376241651
1347364,376241669
1347364,376241671
1347364,376241687
1347364,376241694
1347364,376241721
1347364,376241737
1347364,376241769
1347364,376241812
1347364,376241821
1347364,376241853
1347364,376241542
1347364,376241553
1347364,376241571
1347364,376241585
1347364,376241610
1347364,376241617
1347364,376241637
1347364,376241676
1347348,376241858
1347348,376241859
1347348,376241548
1347348,376241550
1347348,376241563
1347348,376241566
1347348,376241581
1347348,376241597
1347348,376241648
1347348,376241697
1347348,376241714
